Pixel Samples:

(0,0): R=0, G=0, B=0
(1,0): R=0, G=0, B=0
(2,0): R=0, G=0, B=0
(3,0): R=0, G=0, B=0
(4,0): R=0, G=0, B=0
(0,1): R=0, G=0, B=0
(1,1): R=0, G=0, B=0
(2,1): R=0, G=0, B=0
(3,1): R=0, G=0, B=0
(4,1): R=0, G=0, B=0
(0,2): R=0, G=0, B=0
(1,2): R=0, G=0, B=0
(2,2): R=0, G=0, B=0
(3,2): R=0, G=0, B=0
(4,2): R=0, G=0, B=0
(0,3): R=0, G=0, B=0
(1,3): R=0, G=0, B=0
(2,3): R=0, G=0, B=0
(3,3): R=0, G=0, B=0
(4,3): R=0, G=0, B=0
(0,4): R=0, G=0, B=0
(1,4): R=0, G=0, B=0
(2,4): R=0, G=0, B=0
(3,4): R=0, G=0, B=0
(4,4): R=0, G=0, B=0
